/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 184, col 16, Warning - '_operationId' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 204, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 543, col 39, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 544, col 42, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 548, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 549, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 550, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 551, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 552, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 553, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 557, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 558, col 32, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 559, col 32, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 560, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 561, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance-enhanced.ts: line 562, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/middleware/performance.ts: line 86, col 5, Warning - '_metadata' is defined but never used. (@typescript-eslint/no-unused-vars)
